PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
2017-10-05 17:30:00 +0000 +0000,OYUNUN OYUNU,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,375
2017-10-06 17:30:00 +0000 +0000,OYUNUN OYUNU,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,354
2017-10-07 12:00:00 +0000 +0000,OYUNUN OYUNU,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,329
2017-10-07 17:30:00 +0000 +0000,OYUNUN OYUNU,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,370
2017-10-12 17:30:00 +0000 +0000,FEHİM PAŞA KONAĞI,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.104798,41.025025,405
2017-10-13 17:30:00 +0000 +0000,FEHİM PAŞA KONAĞI,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.104798,41.025025,389
2017-10-14 12:00:00 +0000 +0000,FEHİM PAŞA KONAĞI,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.104798,41.025025,396
2017-10-14 17:30:00 +0000 +0000,FEHİM PAŞA KONAĞI,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.104798,41.025025,412
2017-10-19 17:30:00 +0000 +0000,SIZI,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.104798,41.025025,384
2017-10-20 17:30:00 +0000 +0000,SIZI,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.104798,41.025025,359
2017-10-21 12:00:00 +0000 +0000,SIZI,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.104798,41.025025,398
2017-10-21 17:30:00 +0000 +0000,SIZI,Ümraniye Sahnesi,Yetişkin,0,Yerli,29.104798,41.025025,402
2017-10-26 17:30:00 +0000 +0000,İKİ ARADA BİR YERDE,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,368
2017-10-27 17:30:00 +0000 +0000,İKİ ARADA BİR YERDE,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,332
2017-10-28 12:00:00 +0000 +0000,İKİ ARADA BİR YERDE,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,378
2017-10-28 17:30:00 +0000 +0000,İKİ ARADA BİR YERDE,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.104798,41.025025,359
2017-10-05 17:30:00 +0000 +0000,ON İKİ ÖFKELİ ADAM,Gaziosmanpaşa Sahnesi,Yetişkin,0,Yabancı,28.916482,41.057846,213
